Species	snoRNA name	Box	Target RNA	Organization	Locus
Drosophila_melanogaster	snoRNA:Me18S-U1356c	C/D	18S rRNA	Intronic	Poly:1:snoRNA:Or-CD11
Drosophila_melanogaster	snoRNA:Me28S-A1322	C/D	28S rRNA	Intronic	Ef1alpha48D
Drosophila_melanogaster	snoRNA:Me28S-A1666a	C/D	28S rRNA	Intronic	Uhg1
Drosophila_melanogaster	snoRNA:Me28S-A1705	C/D	28S rRNA	Intronic	CG32683
Drosophila_melanogaster	snoRNA:Me28S-A2486	C/D	28S rRNA	Intronic	CG31647
Drosophila_melanogaster	snoRNA:Me28S-A2564	C/D	28S rRNA	Intronic	RpS8
Drosophila_melanogaster	snoRNA:Me28S-A2589a	C/D	28S rRNA	Intronic	dom
Drosophila_melanogaster	snoRNA:Me28S-A2589b	C/D	28S rRNA	Intronic	dom
Drosophila_melanogaster	snoRNA:Me28S-A2589c	C/D	28S rRNA	Intronic	dom
Drosophila_melanogaster	snoRNA:Me28S-A2634a	C/D	28S rRNA	Poly	Poly:0:snoRNA:Me28S-A2634c
Drosophila_melanogaster	snoRNA:Me28S-A2634b	C/D	28S rRNA	Poly	Poly:0:snoRNA:Me28S-A2634c
Drosophila_melanogaster	snoRNA:Me28S-A2634c	C/D	28S rRNA	Poly	Poly:0:snoRNA:Me28S-A2634c
Drosophila_melanogaster	snoRNA:Me28S-A2958	C/D	28S rRNA	Intronic	CG5888
Drosophila_melanogaster	snoRNA:Me28S-A30	C/D	28S rRNA	Intronic	Eip75B
Drosophila_melanogaster	snoRNA:Me28S-A3365	C/D	28S rRNA	Intronic	rtGEF
Drosophila_melanogaster	snoRNA:Me28S-A3407a	C/D	28S rRNA	Intronic	Uhg1
Drosophila_melanogaster	snoRNA:Me28S-A576	C/D	28S rRNA	Intronic	Eip74EF
Drosophila_melanogaster	snoRNA:Me28S-A771	C/D	28S rRNA	Intronic	CG13900
Drosophila_melanogaster	snoRNA:Me28S-A774a	C/D	28S rRNA	Intronic	RpS12
Drosophila_melanogaster	snoRNA:Me28S-A774b	C/D	28S rRNA	Intronic	RpS12
Drosophila_melanogaster	snoRNA:Me28S-A982a	C/D	28S rRNA	Poly	Poly:2:snoRNA:Psi28S-2949
Drosophila_melanogaster	snoRNA:Me28S-A982b	C/D	28S rRNA	Poly	Poly:2:snoRNA:Psi28S-2949
Drosophila_melanogaster	snoRNA:Me28S-A992	C/D	28S rRNA	Poly	Poly:3:snoRNA:Me18S-C1366
Drosophila_melanogaster	snoRNA:Me28S-C1237	C/D	28S rRNA	Intronic	CG5953
Drosophila_melanogaster	snoRNA:Me28S-C2645a	C/D	28S rRNA	Intronic	pncr012:2L
Drosophila_melanogaster	snoRNA:Me28S-C2645b	C/D	28S rRNA	Intronic	pncr012:2L
Drosophila_melanogaster	snoRNA:Me28S-C2645c	C/D	28S rRNA	Intronic	pncr012:2L
Drosophila_melanogaster	snoRNA:Me28S-C3227a	C/D	28S rRNA	Poly	Poly:3:snoRNA:Me18S-C1366
Drosophila_melanogaster	snoRNA:Me28S-C3227b	C/D	28S rRNA	Poly	Poly:3:snoRNA:Me18S-C1366
Drosophila_melanogaster	snoRNA:Me28S-C3351	C/D	28S rRNA	Intronic	RpL28
Drosophila_melanogaster	snoRNA:Me28S-C3420a	C/D	28S rRNA	Intronic	RpS11
Drosophila_melanogaster	snoRNA:Me28S-C3420b	C/D	28S rRNA	Intronic	RpS11
Drosophila_melanogaster	snoRNA:Me28S-C437	C/D	28S rRNA	Intronic	ed
Drosophila_melanogaster	snoRNA:Me28S-C788a	C/D	28S rRNA	Intronic	CG13900
Drosophila_melanogaster	snoRNA:Me28S-C788b	C/D	28S rRNA	Intronic	CG13900
Drosophila_melanogaster	snoRNA:Me28S-G1083a	C/D	28S rRNA	Intronic	Nop60B
Drosophila_melanogaster	snoRNA:Me28S-G1083b	C/D	28S rRNA	Intronic	Nop60B
Drosophila_melanogaster	snoRNA:Me28S-G1083c	C/D	28S rRNA	Intronic	Nop60B
Drosophila_melanogaster	snoRNA:Me28S-G1083d	C/D	28S rRNA	Poly	Poly:4:snoRNA:Me28S-G1083d
Drosophila_melanogaster	snoRNA:Me28S-G2017	C/D	28S rRNA	Intronic	RpL3
Drosophila_melanogaster	snoRNA:Me28S-G2173	C/D	28S rRNA	Intronic	RpS16
Drosophila_melanogaster	snoRNA:Me28S-G2596	C/D	28S rRNA	Intronic	dom
Drosophila_melanogaster	snoRNA:Me28S-G2703a	C/D	28S rRNA	Poly	Poly:3:snoRNA:Me18S-C1366
Drosophila_melanogaster	snoRNA:Me28S-G2703b	C/D	28S rRNA	Poly	Poly:3:snoRNA:Me18S-C1366
Drosophila_melanogaster	snoRNA:Me28S-G2703c	C/D	28S rRNA	Poly	Poly:3:snoRNA:Me18S-C1366
Drosophila_melanogaster	snoRNA:Me28S-G2743	C/D	28S rRNA	Intronic	CG11221
Drosophila_melanogaster	snoRNA:Me28S-G3081a	C/D	28S rRNA	Intronic	Uhg1
Drosophila_melanogaster	snoRNA:Me28S-G3113a	C/D	28S rRNA	Intronic	CG13900
Drosophila_melanogaster	snoRNA:Me28S-G3113b	C/D	28S rRNA	Intronic	CG13900
Drosophila_melanogaster	snoRNA:Me28S-G3255a	C/D	28S rRNA	Poly	Poly:2:snoRNA:Psi28S-2949
Drosophila_melanogaster	snoRNA:Me28S-G3255b	C/D	28S rRNA	Poly	Poly:2:snoRNA:Psi28S-2949
Drosophila_melanogaster	snoRNA:Me28S-G764	C/D	28S rRNA	Intronic	Arf79F
Drosophila_melanogaster	snoRNA:Me28S-G980	C/D	28S rRNA	Intronic	sta
Drosophila_melanogaster	snoRNA:Me28S-U1130	C/D	28S rRNA	Intronic	sano
Drosophila_melanogaster	snoRNA:Me28S-U1230	C/D	28S rRNA	Intronic	aru
Drosophila_melanogaster	snoRNA:Me28S-U1554	C/D	28S rRNA	Intronic	Tl
Drosophila_melanogaster	snoRNA:Me28S-U1688	C/D	28S rRNA	Intronic	Idgf4
Drosophila_melanogaster	snoRNA:Me28S-U1848	C/D	28S rRNA	Poly	Poly:3:snoRNA:Me18S-C1366
Drosophila_melanogaster	snoRNA:Me28S-U2134a	C/D	28S rRNA	Intronic	RpL13A
Drosophila_melanogaster	snoRNA:Me28S-U2134b	C/D	28S rRNA	Intronic	RpL13A
Drosophila_melanogaster	snoRNA:Me28S-U3344a	C/D	28S rRNA	Intronic	CG1518
Drosophila_melanogaster	snoRNA:Me28S-U3344b	C/D	28S rRNA	Intronic	CG1518
Drosophila_melanogaster	snoRNA:Me5.8S-G74	C/D	5.8S rRNA	Intronic	CG13900
Drosophila_melanogaster	snoRNA:MeS28-G3277a	C/D	28S rRNA	Intronic	Uhg1
Drosophila_melanogaster	snoRNA:MeU2-A31	C/D	U2 snRNA	Intronic	dpr10
Drosophila_melanogaster	snoRNA:MeU2-C28	C/D	U2 snRNA	Intronic	CG1518
Drosophila_melanogaster	snoRNA:MeU5-C46	H/ACA,C/D	U5 snRNA	Intronic	CG1142
Drosophila_melanogaster	snoRNA:MeU5-U42	C/D	U5 snRNA	Intronic	CG12316
Drosophila_melanogaster	snoRNA:MeU6-A47	C/D	U6 snRNA	Intronic	Hlc
Drosophila_melanogaster	snoRNA:MeU6-C68	C/D	U6 snRNA	Intronic	Rs1
Drosophila_melanogaster	snoRNA:Psi18S-1086	H/ACA	18S rRNA	Intronic	CG13900
Drosophila_melanogaster	snoRNA:Psi18S-110	H/ACA	18S rRNA	Intronic	CG13900
Drosophila_melanogaster	snoRNA:Psi18S-1275	H/ACA	18S rRNA	Intronic	RpS29
Drosophila_melanogaster	snoRNA:Psi18S-1295	H/ACA	18S rRNA	Intronic	RpS20
Drosophila_melanogaster	snoRNA:Psi18S-1347a	H/ACA	18S rRNA	Intronic	pAbp
Drosophila_melanogaster	snoRNA:Psi18S-1347b	H/ACA	18S rRNA	Intronic	pAbp
Drosophila_melanogaster	snoRNA:Psi18S-1347c	H/ACA	18S rRNA	Intronic	pAbp
Drosophila_melanogaster	snoRNA:Psi18S-1377a	H/ACA	18S rRNA	Intronic	RpS7
Drosophila_melanogaster	snoRNA:Psi18S-1377b	H/ACA	18S rRNA	Intronic	RpS7
Drosophila_melanogaster	snoRNA:Psi18S-1377c	H/ACA	18S rRNA	Intronic	RpS7
Drosophila_melanogaster	snoRNA:Psi18S-1377d	H/ACA	18S rRNA	Intronic	RpS7
Drosophila_melanogaster	snoRNA:Psi18S-1377e	H/ACA	18S rRNA	Intronic	RpS7
Drosophila_melanogaster	snoRNA:Psi18S-1389a	H/ACA	18S rRNA	Intronic	dom
Drosophila_melanogaster	snoRNA:Psi18S-1389b	H/ACA	18S rRNA	Intronic	dom
Drosophila_melanogaster	snoRNA:Psi18S-1397	H/ACA	18S rRNA	Intronic	CG10576
Drosophila_melanogaster	snoRNA:Psi18S-176	H/ACA	18S rRNA	Mono	Mono:9:snoRNA:Psi18S-176
Drosophila_melanogaster	snoRNA:Psi18S-1820	C/D	18S rRNA	Intronic	Nop60B
Drosophila_melanogaster	snoRNA:Psi18S-1854a	H/ACA	18S rRNA	Intronic	RpS5a
Drosophila_melanogaster	snoRNA:Psi18S-1854b	H/ACA	18S rRNA	Intronic	RpS5a
Drosophila_melanogaster	snoRNA:Psi18S-1854c	H/ACA	18S rRNA	Intronic	RpS5a
Drosophila_melanogaster	snoRNA:Psi18S-525a	H/ACA	18S rRNA	Intronic	Arc-p34
Drosophila_melanogaster	snoRNA:Psi18S-525b	H/ACA	18S rRNA	Intronic	Arc-p34
Drosophila_melanogaster	snoRNA:Psi18S-525c	H/ACA	18S rRNA	Intronic	Arc-p34
Drosophila_melanogaster	snoRNA:Psi18S-525d	H/ACA	18S rRNA	Intronic	Arc-p34
Drosophila_melanogaster	snoRNA:Psi18S-525e	H/ACA	18S rRNA	Intronic	Arc-p34
Drosophila_melanogaster	snoRNA:Psi18S-525f	H/ACA	18S rRNA	Intronic	Arc-p34
Drosophila_melanogaster	snoRNA:Psi18S-525g	H/ACA	18S rRNA	Intronic	Arc-p34
Drosophila_melanogaster	snoRNA:Psi18S-525h	H/ACA	18S rRNA	Intronic	Arc-p34
Drosophila_melanogaster	snoRNA:Psi18S-525i	H/ACA	18S rRNA	Intronic	Arc-p34
Drosophila_melanogaster	snoRNA:Psi18S-525j	H/ACA	18S rRNA	Intronic	Arc-p34
Drosophila_melanogaster	snoRNA:Psi18S-525k	H/ACA	18S rRNA	Intronic	Msp-300
Drosophila_melanogaster	snoRNA:Psi18S-531	H/ACA	18S rRNA	Intronic	RpL22
Drosophila_melanogaster	snoRNA:Psi18S-640a	H/ACA	18S rRNA	Intronic	Arc-p34
Drosophila_melanogaster	snoRNA:Psi18S-640b	H/ACA	18S rRNA	Intronic	Arc-p34
Drosophila_melanogaster	snoRNA:Psi18S-640c	H/ACA	18S rRNA	Intronic	Arc-p34
Drosophila_melanogaster	snoRNA:Psi18S-640d	H/ACA	18S rRNA	Intronic	Arc-p34
Drosophila_melanogaster	snoRNA:Psi18S-640e	H/ACA	18S rRNA	Intronic	Arc-p34
Drosophila_melanogaster	snoRNA:Psi18S-640f	H/ACA	18S rRNA	Intronic	Arc-p34
Drosophila_melanogaster	snoRNA:Psi18S-640g	H/ACA	18S rRNA	Intronic	Arc-p34
Drosophila_melanogaster	snoRNA:Psi18S-841a	H/ACA	18S rRNA	Intronic	dom
Drosophila_melanogaster	snoRNA:Psi18S-841b	H/ACA	18S rRNA	Intronic	dom
Drosophila_melanogaster	snoRNA:Psi18S-841c	H/ACA	18S rRNA	Intronic	dom
Drosophila_melanogaster	snoRNA:Psi18S-841d	H/ACA	18S rRNA	Intronic	dom
Drosophila_melanogaster	snoRNA:Psi18S-920	H/ACA	18S rRNA	Intronic	RpL10Ab
Drosophila_melanogaster	snoRNA:Psi18S-996	H/ACA	18S rRNA	Intronic	Tudor-SN
Drosophila_melanogaster	snoRNA:Psi28S-1060	H/ACA	28S rRNA	Intronic	RpL17
Drosophila_melanogaster	snoRNA:Psi28S-1135a	H/ACA	28S rRNA	Intronic	RpS5a
Drosophila_melanogaster	snoRNA:Psi28S-1135b	H/ACA	28S rRNA	Intronic	RpS5a
Drosophila_melanogaster	snoRNA:Psi28S-1135c	H/ACA	28S rRNA	Intronic	RpS5a
Drosophila_melanogaster	snoRNA:Psi28S-1135d	H/ACA	28S rRNA	Intronic	RpS5a
Drosophila_melanogaster	snoRNA:Psi28S-1135e	H/ACA	28S rRNA	Intronic	RpS5a
Drosophila_melanogaster	snoRNA:Psi28S-1135f	H/ACA	28S rRNA	Intronic	RpS5a
Drosophila_melanogaster	snoRNA:Psi28S-1153	H/ACA	28S rRNA	Mono	Mono:4:snoRNA:Psi28S-1153
Drosophila_melanogaster	snoRNA:Psi28S-1175a	H/ACA	28S rRNA	Intronic	RpS16
Drosophila_melanogaster	snoRNA:Psi28S-1175b	H/ACA	28S rRNA	Intronic	RpS16
Drosophila_melanogaster	snoRNA:Psi28S-1175c	H/ACA	28S rRNA	Intronic	RpS16
Drosophila_melanogaster	snoRNA:Psi28S-1180	H/ACA	28S rRNA	Intronic	tou
Drosophila_melanogaster	snoRNA:Psi28S-1192a	H/ACA	28S rRNA	Intronic	RpS5a
Drosophila_melanogaster	snoRNA:Psi28S-1192b	H/ACA	28S rRNA	Intronic	RpS5a
Drosophila_melanogaster	snoRNA:Psi28S-1192c	H/ACA	28S rRNA	Intronic	RpS5a
Drosophila_melanogaster	snoRNA:Psi28S-1192d	H/ACA	28S rRNA	Intronic	RpS5a
Drosophila_melanogaster	snoRNA:Psi28S-1232	H/ACA	28S rRNA	Intronic	RpL17
Drosophila_melanogaster	snoRNA:Psi28S-1837a	H/ACA	28S rRNA	Intronic	CG10576
Drosophila_melanogaster	snoRNA:Psi28S-1837b	H/ACA	28S rRNA	Intronic	CG10576
Drosophila_melanogaster	snoRNA:Psi28S-1837c	H/ACA	28S rRNA	Intronic	CG10576
Drosophila_melanogaster	snoRNA:Psi28S-1936	H/ACA	28S rRNA	Intronic	tou
Drosophila_melanogaster	snoRNA:Psi28S-2149	H/ACA	28S rRNA	Intronic	RpS7
Drosophila_melanogaster	snoRNA:Psi28S-2442a	H/ACA	28S rRNA	Intronic	exba
Drosophila_melanogaster	snoRNA:Psi28S-2442b	H/ACA	28S rRNA	Intronic	exba
Drosophila_melanogaster	snoRNA:Psi28S-2444	H/ACA	28S rRNA	Intronic	RpL11
Drosophila_melanogaster	snoRNA:Psi28S-2562	H/ACA	28S rRNA	Intronic	RpS20
Drosophila_melanogaster	snoRNA:Psi28S-2566	H/ACA	28S rRNA	Intronic	CG3902
Drosophila_melanogaster	snoRNA:Psi28S-2622	H/ACA	28S rRNA	Mono	Mono:0:snoRNA:Psi28S-2622
Drosophila_melanogaster	snoRNA:Psi28S-2626	H/ACA	28S rRNA	Intronic	RpS7
Drosophila_melanogaster	snoRNA:Psi28S-2648	H/ACA	28S rRNA	Intronic	RpL36A
Drosophila_melanogaster	snoRNA:Psi28S-2876	H/ACA	28S rRNA	Intronic	RpS5a
Drosophila_melanogaster	snoRNA:Psi28S-291	H/ACA	28S rRNA	Intronic	RpL3
Drosophila_melanogaster	snoRNA:Psi28S-2949	H/ACA	28S rRNA	Poly	Poly:2:snoRNA:Psi28S-2949
Drosophila_melanogaster	snoRNA:Psi28S-3091a	H/ACA	28S rRNA	Intronic	exba
Drosophila_melanogaster	snoRNA:Psi28S-3091b	H/ACA	28S rRNA	Intronic	exba
Drosophila_melanogaster	snoRNA:Psi28S-3186	H/ACA	28S rRNA	Intronic	exba
Drosophila_melanogaster	snoRNA:Psi28S-3305a	H/ACA	28S rRNA	Intronic	Hrb98DE
Drosophila_melanogaster	snoRNA:Psi28S-3305b	H/ACA	28S rRNA	Intronic	Hrb98DE
Drosophila_melanogaster	snoRNA:Psi28S-3305c	H/ACA	28S rRNA	Intronic	Hrb98DE
Drosophila_melanogaster	snoRNA:Psi28S-3308	H/ACA	28S rRNA	Intronic	CG13900
Drosophila_melanogaster	snoRNA:Psi28S-3316a	H/ACA	28S rRNA	Intronic	dom
Drosophila_melanogaster	snoRNA:Psi28S-3316b	H/ACA	28S rRNA	Intronic	dom
Drosophila_melanogaster	snoRNA:Psi28S-3316c	H/ACA	28S rRNA	Intronic	dom
Drosophila_melanogaster	snoRNA:Psi28S-3316d	H/ACA	28S rRNA	Intronic	dom
Drosophila_melanogaster	snoRNA:Psi28S-3316e	H/ACA	28S rRNA	Intronic	dom
Drosophila_melanogaster	snoRNA:Psi28S-3327a	H/ACA	28S rRNA	Intronic	RpS4
Drosophila_melanogaster	snoRNA:Psi28S-3327b	H/ACA	28S rRNA	Intronic	RpS4
Drosophila_melanogaster	snoRNA:Psi28S-3327c	H/ACA	28S rRNA	Intronic	RpS4
Drosophila_melanogaster	snoRNA:Psi28S-3342	H/ACA	28S rRNA	Mono	Mono:2:snoRNA:Psi28S-3342
Drosophila_melanogaster	snoRNA:Psi28S-3378	H/ACA	28S rRNA	Intronic	dom
Drosophila_melanogaster	snoRNA:Psi28S-3385a	H/ACA	28S rRNA	Intronic	exba
Drosophila_melanogaster	snoRNA:Psi28S-3385b	H/ACA	28S rRNA	Intronic	exba
Drosophila_melanogaster	snoRNA:Psi28S-3405a	H/ACA	28S rRNA	Intronic	Hrb98DE
Drosophila_melanogaster	snoRNA:Psi28S-3405b	H/ACA	28S rRNA	Intronic	Hrb98DE
Drosophila_melanogaster	snoRNA:Psi28S-3405c	H/ACA	28S rRNA	Intronic	Hrb98DE
Drosophila_melanogaster	snoRNA:Psi28S-3405d	H/ACA	28S rRNA	Intronic	Hrb98DE
Drosophila_melanogaster	snoRNA:Psi28S-3436a	H/ACA	28S rRNA	Intronic	RpL17
Drosophila_melanogaster	snoRNA:Psi28S-3436b	H/ACA	28S rRNA	Intronic	RpL17
Drosophila_melanogaster	snoRNA:Psi28S-3571	H/ACA	28S rRNA	Intronic	exba
Drosophila_melanogaster	snoRNA:Psi28S-612	H/ACA	28S rRNA	Intronic	RpS17
Drosophila_melanogaster	snoRNA:snR38:54Eb	C/D	28S rRNA	Intronic	Uhg1
Drosophila_melanogaster	snoRNA:snR38:54Ec	C/D	28S rRNA	Intronic	Uhg1
Drosophila_melanogaster	snoRNA:U14:30Ea	C/D	18S rRNA	Intronic	Uhg2
Drosophila_melanogaster	snoRNA:U14:30Eb	C/D	18S rRNA	Intronic	Uhg2
Drosophila_melanogaster	snoRNA:U27:54Ea	C/D	18S rRNA	Intronic	Uhg1
Drosophila_melanogaster	snoRNA:U27:54Eb	C/D	18S rRNA	Intronic	Uhg1
Drosophila_melanogaster	snoRNA:U29:54Eb	C/D	28S rRNA	Intronic	Uhg1
Drosophila_melanogaster	snoRNA:U29:54Ec	C/D	28S rRNA	Intronic	Uhg1
Drosophila_melanogaster	snoRNA:U29:54Ed	H/ACA	28S rRNA	Intronic	Uhg1
Drosophila_melanogaster	snoRNA:U31:54Eb	C/D	28S rRNA	Intronic	Uhg1
Drosophila_melanogaster	snoRNA:U31:54Ec	C/D	28S rRNA	Intronic	Uhg1
Drosophila_melanogaster	snoRNA:U31:54Ed	C/D	28S rRNA	Intronic	Uhg1
Drosophila_melanogaster	snoRNA:U3:54Aa	C/D	18S rRNA	Mono	Mono:5:snoRNA:U3:54Aa
Drosophila_melanogaster	snoRNA:U3:54Ab	C/D	18S rRNA	Mono	Mono:6:snoRNA:U3:54Ab
Drosophila_melanogaster	snoRNA:U3:9B	C/D	18S rRNA	Mono	Mono:3:snoRNA:U3:9B
Drosophila_melanogaster	snoRNA:U49:66Da	C/D	28S rRNA	Intronic	RpL14
Drosophila_melanogaster	snoRNA:U49:66Db	C/D	28S rRNA	Intronic	RpL14
Drosophila_melanogaster	snoRNA:U76:54Eb	C/D	28S rRNA	Intronic	Uhg1
